,battery_id,voltage,current,temp,time,rul
0,B0005,4.201968615940368,-0.0008565579794345959,25.09329713312876,0.0,2820.39
1,B0005,4.200942039471311,-0.0011276212441780813,25.10437816806932,9.328,2811.062
2,B0005,3.9822597453103534,-2.009928912960852,25.106192074197992,19.515,2800.875
3,B0005,3.959736047580251,-2.01445016418111,25.178774888256722,28.936999999999998,2791.453
4,B0005,3.9421824971315043,-2.015092520880159,25.276001803074074,38.312,2782.078
5,B0005,3.92718474310638,-2.0152259793690845,25.40235429927579,47.687,2772.703
6,B0005,3.914152914318117,-2.012312353063046,25.499621839085606,57.046,2763.344
7,B0005,3.902691085637858,-2.0123983053060797,25.608730701096153,66.35900000000001,2754.031
8,B0005,3.892498632995477,-2.0127937828523477,25.72386553372026,75.75,2744.64
9,B0005,3.883186368593699,-2.0134559500654743,25.83708132592343,85.10900000000001,2735.281
10,B0005,3.8747564770301137,-2.013433430964624,25.948375892206684,94.531,2725.859
11,B0005,3.8668516066170033,-2.015319721371502,26.086001598156685,103.85900000000001,2716.531
12,B0005,3.859756578079406,-2.0151886124681715,26.211596963215637,113.218,2707.172
13,B0005,3.8529282329091656,-2.015120612589889,26.321311753332797,122.60900000000001,2697.781
14,B0005,3.846565478868933,-2.0136823240566066,26.427478430509222,131.953,2688.437
15,B0005,3.840587531743306,-2.0136752966861065,26.557296790190172,141.34300000000002,2679.047
16,B0005,3.8348009341378657,-2.0130942155674565,26.671673565694263,150.71800000000002,2669.672
17,B0005,3.829683111346566,-2.0114711555743274,26.773967121780128,160.078,2660.312
18,B0005,3.8247661331394465,-2.0168496174204122,26.910579914811308,169.453,2650.937
19,B0005,3.8199110116299364,-2.013938887327131,27.024218117508955,178.843,2641.547
20,B0005,3.8154190684479916,-2.0152669392251252,27.14217823741644,188.218,2632.172
21,B0005,3.8107748203620075,-2.0145728280060937,27.250887095451354,197.578,2622.812
22,B0005,3.806653361130518,-2.0133582522124893,27.360433410106648,206.953,2613.437
23,B0005,3.8027009592011214,-2.0130003897304136,27.4616048844281,216.296,2604.094
24,B0005,3.79880796649546,-2.015213448076663,27.563580091052692,225.687,2594.703
25,B0005,3.7946255267094946,-2.0127870326667483,27.687270110978986,235.046,2585.344
26,B0005,3.790988119323399,-2.013537057754574,27.809811823905733,244.359,2576.031
27,B0005,3.7873240399404744,-2.015052014058525,27.91451706154813,253.765,2566.625
28,B0005,3.7835671561247506,-2.0140638185416826,28.03244272435014,263.093,2557.297
29,B0005,3.779869832846145,-2.0143458507855603,28.141271834295225,272.5,2547.89
30,B0005,3.7760900179097296,-2.015386113239181,28.246679300547882,281.89,2538.5
31,B0005,3.772344954692245,-2.013275353238755,28.348432736183025,291.25,2529.14
32,B0005,3.7685225943870715,-2.0125678706210985,28.46492199281947,300.609,2519.781
33,B0005,3.764819949559381,-2.015046886910854,28.5734288971773,309.968,2510.422
34,B0005,3.7606070076986042,-2.0145780254116965,28.68138420297098,319.328,2501.062
35,B0005,3.756846616668602,-2.0140684393554995,28.763654436367315,328.734,2491.656
36,B0005,3.752842077250945,-2.0120834640245464,28.871969756635455,338.078,2482.312
37,B0005,3.7487881331993536,-2.0118965797145885,28.97504431829679,347.406,2472.984
38,B0005,3.74494719731879,-2.0138368968203295,29.096048335201026,356.734,2463.656
39,B0005,3.7404100911501414,-2.0129594827922994,29.190788508611487,366.171,2454.219
40,B0005,3.736483531343873,-2.0142376851704786,29.272137161356,375.531,2444.859
41,B0005,3.732452141590389,-2.013536033667451,29.381462218345035,384.89,2435.5
42,B0005,3.7281018812581905,-2.013547616133027,29.460684620916343,394.203,2426.187
43,B0005,3.724003910842721,-2.0137122199232023,29.56635123993614,403.609,2416.781
