asset_id,t_index,state_value
B0005,0,2820.39
B0005,1,2811.062
B0005,2,2800.875
B0005,3,2791.453
B0005,4,2782.078
B0005,5,2772.703
B0005,6,2763.344
B0005,7,2754.031
B0005,8,2744.64
B0005,9,2735.281
B0005,10,2725.859
B0005,11,2716.531
B0005,12,2707.172
B0005,13,2697.781
B0005,14,2688.437
B0005,15,2679.047
B0005,16,2669.672
B0005,17,2660.312
B0005,18,2650.937
B0005,19,2641.547
B0005,20,2632.172
B0005,21,2622.812
B0005,22,2613.437
B0005,23,2604.094
B0005,24,2594.703
B0005,25,2585.344
B0005,26,2576.031
B0005,27,2566.625
B0005,28,2557.297
B0005,29,2547.89
B0005,30,2538.5
B0005,31,2529.14
B0005,32,2519.781
B0005,33,2510.422
B0005,34,2501.062
B0005,35,2491.656
B0005,36,2482.312
B0005,37,2472.984
B0005,38,2463.656
B0005,39,2454.219
B0005,40,2444.859
B0005,41,2435.5
B0005,42,2426.187
B0005,43,2416.781
B0005,44,2407.406
B0005,45,2398.0
B0005,46,2388.656
B0005,47,2379.344
B0005,48,2369.984
B0005,49,2360.656
B0005,50,2351.297
B0005,51,2341.969
B0005,52,2332.64
B0005,53,2323.297
B0005,54,2313.875
B0005,55,2304.484
B0005,56,2295.109
B0005,57,2285.797
B0005,58,2276.422
B0005,59,2267.015
B0005,60,2257.656
B0005,61,2248.328
B0005,62,2238.953
B0005,63,2229.562
B0005,64,2220.203
B0005,65,2210.781
B0005,66,2201.39
B0005,67,2192.0
B0005,68,2182.578
B0005,69,2173.187
B0005,70,2163.844
B0005,71,2154.515
B0005,72,2145.156
B0005,73,2135.765
B0005,74,2126.312
B0005,75,2116.969
B0005,76,2107.609
B0005,77,2098.25
B0005,78,2088.844
B0005,79,2079.484
B0005,80,2070.094
B0005,81,2060.781
B0005,82,2051.406
B0005,83,2042.047
B0005,84,2032.719
B0005,85,2023.281
B0005,86,2013.937
B0005,87,2004.547
B0005,88,1995.187
B0005,89,1985.828
B0005,90,1976.469
B0005,91,1967.078
B0005,92,1957.703
B0005,93,1948.344
B0005,94,1938.969
B0005,95,1929.609
B0005,96,1920.281
B0005,97,1910.859
B0005,98,1901.469
B0005,99,1892.078
B0005,100,1882.719
B0005,101,1873.328
B0005,102,1863.922
B0005,103,1854.562
B0005,104,1845.203
B0005,105,1835.875
B0005,106,1826.515
B0005,107,1817.156
B0005,108,1807.781
B0005,109,1798.422
B0005,110,1789.0939999999998
B0005,111,1779.734
B0005,112,1770.3749999999998
B0005,113,1761.0469999999998
